"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\vendors\vendor-service-area-editor.tsx", "TypeScript JSX", 0, 182, 0, 0, 0, 23, 205
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\venues\venues-page-shell.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 13, 90
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\audit.ts", "TypeScript", 209, 0, 0, 0, 4, 18, 231
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\auth-context.ts", "TypeScript", 218, 0, 0, 0, 35, 41, 294
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\format.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\permissions.ts", "TypeScript", 386, 0, 0, 0, 0, 90, 476
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\show-access.ts", "TypeScript", 86, 0, 0, 0, 0, 14, 100
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\stripe.ts", "TypeScript", 2, 0, 0, 0, 0, 2, 4
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\supabase\admin.ts", "TypeScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\supabase\client.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\supabase\middleware.ts", "TypeScript", 26, 0, 0, 0, 0, 4, 30
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\supabase\server.ts", "TypeScript", 23, 0, 0, 0, 0, 2, 25
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\team-scope.ts", "TypeScript", 84, 0, 0, 0, 0, 18, 102
"c:\Users\Dale\Desktop\clean-signal-saas\src\lib\user-display.ts", "TypeScript", 62, 0, 0, 0, 0, 13, 75
"Total", "-", 8392, 15315, 1, 21, 64, 3366, 27159
